ÀÏ·Ã¹øÈ£,Ã¤¼öÀå¼Ò,ÀÇ·ÚÀÏÀÚ,°Ë»çÇ×¸ñ,°á°úÀÏÀÚ,»ýÈ­ÇÐÀû »ê¼Ò¿ä±¸·®,È­ÇÐÀû »ê¼Ò¿ä±¸·®,ÃÑ À¯±âÅº¼Ò,ºÎÀ¯¹°Áú,ÃÑÁú¼Ò,ÃÑÀÎ
1,±¼Æ÷1±³,2014-01-23,"BOD, COD, SS, T-N, T-P ",2014-02-07,1.8,4.3,-,6.1,2.59,0.019
2,»ï»ê3±³,2014-01-23,"BOD, COD, SS, T-N, T-P ",2014-02-07,1.8,4.4,-,4.4,2.725,0.029
3,±¼Æ÷1±³,2014-02-01,"BOD, COD, SS, T-N, T-P ",2014-02-26,0.3,5,-,9,2.778,0.039
4,»ï»ê3±³,2014-02-01,"BOD, COD, SS, T-N, T-P ",2014-02-26,2.4,5.5,-,10,2.64,0.061
5,±¼Æ÷1±³,2014-03-27,"BOD, COD, SS, T-N, T-P ",2014-04-04,2,4.3,-,7.2,1.897,0.039
6,»ï»ê3±³,2014-03-27,"BOD, COD, SS, T-N, T-P ",2014-04-04,2.8,4.8,-,7.9,2.145,0.06
7,±¼Æ÷1±³,2014-04-25,"BOD, COD, SS, T-N, T-P ",2014-05-07,2.2,4.2,-,8.2,1.793,0.047
8,»ï»ê3±³,2014-04-25,"BOD, COD, SS, T-N, T-P ",2014-05-07,4.4,5.3,-,15,2.897,0.104
9,»ï»ê3±³,2014-05-29,"BOD, COD, SS, T-N, T-P ",2014-06-13,6.2,6.9,-,23.1,1.552,0.101
10,±¼Æ÷1±³,2014-05-29,"BOD, COD, SS, T-N, T-P ",2014-06-13,3.4,5.2,-,6,1.565,0.074
11,¿©¿ï±³ ºÎ±Ù,2014-06-05,"BOD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2014-06-16,2.7,-,-,5,1.57,0.063
12,»ï»ê3±³ ºÎ±Ù,2014-06-05,"BOD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2014-06-16,7.1,-,-,5.8,3.822,0.077
13,±¼Æ÷1±³,2014-05-29,"BOD, COD, SS, T-N, T-P ",2014-06-18,3.4,6.4,-,10.3,1.225,0.181
14,»ï»ê3±³,2014-05-29,"BOD, COD, SS, T-N, T-P ",2014-06-18,3.4,7.4,-,10.1,3.444,0.087
15,±¼Æ÷1±³,2014-07-30,"BOD, COD, SS, T-N, T-P ",2014-07-30,1.2,4.6,-,7.4,1.455,0.043
16,»ï»ê3±³,2014-07-30,"BOD, COD, SS, T-N, T-P ",2014-07-30,1.8,5.7,-,7.8,1.512,0.069
17,±¼Æ÷1±³,2014-08-23,"BOD, COD, SS, T-N, T-P ",2014-09-04,3,5.2,-,20.7,1.996,0.092
18,»ï»ê3±³,2014-08-23,"BOD, COD, SS, T-N, T-P ",2014-09-04,5.1,7.2,-,6.9,4.502,0.313
19,±¼Æ÷1±³,2014-09-24,"BOD, COD, SS, T-N, T-P ",2014-10-07,2.2,6.2,-,14.4,1.764,0.028
20,»ï»ê3±³,2014-09-24,"BOD, COD, SS, T-N, T-P ",2014-10-07,2.5,5.3,-,13.4,1.785,0.05
21,Ãµ»ó±³,2014-09-30,"COD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2014-10-07,-,16.8,-,49.1,5.481,0.468
22,±¼Æ÷1±³,2014-10-23,"BOD, COD, SS, T-N, T-P ",2014-11-04,1.6,4.6,-,4.9,1.885,0.041
23,»ï»ê3±³,2014-10-23,"BOD, COD, SS, T-N, T-P ",2014-11-04,4.9,6.7,-,6.2,3.211,0.13
24,±¼Æ÷1±³,2014-11-27,"BOD, COD, SS, T-N, T-P ",2014-12-10,1.7,5.4,-,19,2.148,0.038
25,»ï»ê3±³,2014-11-27,"BOD, COD, SS, T-N, T-P ",2014-12-10,1.6,4.2,-,4.6,2.105,0.046
26,±¼Æ÷1±³,2014-12-18,"BOD, COD, SS, T-N, T-P ",2014-12-31,2.6,3.5,-,3,2.563,0.035
27,»ï»ê3±³,2014-12-18,"BOD, COD, SS, T-N, T-P ",2014-12-31,2.4,3.9,-,4,2.363,0.026
28,±¼Æ÷1±³,2015-01-23,"BOD, COD, SS, T-N, T-P ",2015-02-04,3.5,4.1,-,4.2,2.708,0.019
29,»ï»ê3±³,2015-01-23,"BOD, COD, SS, T-N, T-P ",2015-02-04,3.3,4.6,-,5.2,3.066,0.04
